category_share_metric,weather_metric,correlation,abs_correlation
qty_na_beverage_share,daily_snow_depth_in,0.2493424880547317,0.2493424880547317
qty_beer_share,daily_snow_depth_in,0.18218168008235142,0.18218168008235142
qty_na_beverage_share,daily_maximum_dry_bulb_temperature_f,-0.18167751333284365,0.18167751333284365
qty_na_beverage_share,daily_average_dry_bulb_temperature_f,-0.16965667494748446,0.16965667494748446
qty_food_share,daily_snow_depth_in,-0.16856384199417737,0.16856384199417737
qty_na_beverage_share,temperature_range_f,-0.16769498871780936,0.16769498871780936
qty_na_beverage_share,daily_minimum_dry_bulb_temperature_f,-0.1463050037180257,0.1463050037180257
qty_na_beverage_share,daily_average_dew_point_temperature_f,-0.14567371188412562,0.14567371188412562
qty_beer_share,daily_average_wind_speed_mph,-0.12715580069550164,0.12715580069550164
qty_food_share,daily_average_wind_speed_mph,0.12229808494063325,0.12229808494063325
qty_na_beverage_share,daily_precipitation_in,-0.1215959124444137,0.1215959124444137
qty_na_beverage_share,daily_peak_wind_speed_mph,-0.11547515313748594,0.11547515313748594
qty_na_beverage_share,daily_sustained_wind_speed_mph,-0.11386612130879038,0.11386612130879038
qty_wine_sake_share,daily_average_wind_speed_mph,-0.10673911271256131,0.10673911271256131
qty_beer_share,daily_precipitation_in,-0.09959560991000645,0.09959560991000645
qty_wine_sake_share,daily_snowfall_in,-0.09794478686275934,0.09794478686275934
qty_food_share,daily_sustained_wind_speed_mph,0.09321783687148776,0.09321783687148776
qty_wine_sake_share,daily_sustained_wind_speed_mph,-0.08336294116327649,0.08336294116327649
qty_wine_sake_share,daily_peak_wind_speed_mph,-0.0782056779902211,0.0782056779902211
qty_food_share,daily_peak_wind_speed_mph,0.07690004623466763,0.07690004623466763
qty_beer_share,daily_sustained_wind_speed_mph,-0.07499565611339791,0.07499565611339791
qty_liquor_share,daily_snow_depth_in,0.0743067143299353,0.0743067143299353
qty_beer_share,daily_minimum_dry_bulb_temperature_f,-0.06735033286443305,0.06735033286443305
qty_wine_sake_share,daily_precipitation_in,-0.06581484445152336,0.06581484445152336
qty_food_share,daily_minimum_dry_bulb_temperature_f,0.06567927002250862,0.06567927002250862
qty_food_share,daily_average_dry_bulb_temperature_f,0.06369733457440088,0.06369733457440088
qty_beer_share,daily_snowfall_in,-0.06240036162196437,0.06240036162196437
qty_food_share,daily_maximum_dry_bulb_temperature_f,0.05961494943477079,0.05961494943477079
qty_liquor_share,daily_average_wind_speed_mph,-0.059408903749307976,0.059408903749307976
qty_food_share,daily_precipitation_in,0.059266219654270674,0.059266219654270674
qty_liquor_share,daily_precipitation_in,0.056585285995315766,0.056585285995315766
qty_beer_share,daily_average_dry_bulb_temperature_f,-0.05273167178793436,0.05273167178793436
qty_beer_share,daily_peak_wind_speed_mph,-0.04907161092455813,0.04907161092455813
qty_na_beverage_share,daily_snowfall_in,0.04877295999248342,0.04877295999248342
qty_na_beverage_share,daily_average_wind_speed_mph,-0.04830435065000247,0.04830435065000247
qty_food_share,daily_snowfall_in,0.04613872982365595,0.04613872982365595
qty_wine_sake_share,daily_snow_depth_in,0.04288665299285036,0.04288665299285036
qty_beer_share,daily_maximum_dry_bulb_temperature_f,-0.03954624905686701,0.03954624905686701
qty_liquor_share,daily_minimum_dry_bulb_temperature_f,-0.03922970337595314,0.03922970337595314
qty_beer_share,daily_average_dew_point_temperature_f,-0.03583131140188561,0.03583131140188561
qty_liquor_share,daily_average_relative_humidity,0.034670383747188616,0.034670383747188616
qty_liquor_share,daily_average_dry_bulb_temperature_f,-0.03181607668886334,0.03181607668886334
qty_food_share,daily_average_dew_point_temperature_f,0.03166463329823052,0.03166463329823052
qty_beer_share,temperature_range_f,0.030767078351088117,0.030767078351088117
qty_wine_sake_share,daily_average_dew_point_temperature_f,0.027610229816712573,0.027610229816712573
qty_na_beverage_share,daily_average_relative_humidity,-0.027344612233793943,0.027344612233793943
qty_liquor_share,daily_maximum_dry_bulb_temperature_f,-0.0249355066153844,0.0249355066153844
qty_liquor_share,daily_sustained_wind_speed_mph,-0.02196064243698905,0.02196064243698905
qty_wine_sake_share,daily_minimum_dry_bulb_temperature_f,0.021671737505482767,0.021671737505482767
qty_food_share,temperature_range_f,0.0215445240290769,0.0215445240290769
qty_wine_sake_share,daily_average_dry_bulb_temperature_f,0.018936406754819734,0.018936406754819734
qty_wine_sake_share,daily_maximum_dry_bulb_temperature_f,0.01685852424727896,0.01685852424727896
qty_liquor_share,temperature_range_f,0.013265907237972501,0.013265907237972501
qty_liquor_share,daily_peak_wind_speed_mph,-0.009017664358983796,0.009017664358983796
qty_food_share,daily_average_relative_humidity,-0.006425699115932432,0.006425699115932432
qty_beer_share,daily_average_relative_humidity,-0.005561332581693528,0.005561332581693528
qty_liquor_share,daily_average_dew_point_temperature_f,0.005559408158711631,0.005559408158711631
qty_wine_sake_share,daily_average_relative_humidity,-0.004901911230419339,0.004901911230419339
qty_liquor_share,daily_snowfall_in,0.002618876250136163,0.002618876250136163
qty_wine_sake_share,temperature_range_f,0.0002221925484740599,0.0002221925484740599
